IDNumber,GroupName,StudentName,TrolleyScenario,Choice,ConfidenceLevel
101,Soul Stats,Sam,1,P,4
101,Soul Stats,Sam,2,P,4
101,Soul Stats,Sam,3,P,5
102,Soul Stats,Sam,1,P,4
102,Soul Stats,Sam,2,P,4
102,Soul Stats,Sam,3,N,5
103,Soul Stats,Sam,1,P,5
103,Soul Stats,Sam,2,P,4
103,Soul Stats,Sam,3,N,5
104,Soul Stats,Sam,1,P,5
104,Soul Stats,Sam,2,P,5
104,Soul Stats,Sam,3,N,5
105,Soul Stats,Sam,1,P,4
105,Soul Stats,Sam,2,N,3
105,Soul Stats,Sam,3,N,5
106,Soul Stats,Sam,1,P,2
106,Soul Stats,Sam,2,P,2
106,Soul Stats,Sam,3,N,5
107,Soul Stats,Sam,1,N,4
107,Soul Stats,Sam,2,N,5
107,Soul Stats,Sam,3,N,5
108,Soul Stats,Alisa,1,N,2
108,Soul Stats,Alisa,2,N,3
108,Soul Stats,Alisa,3,N,5
109,Soul Stats,Alisa,1,P,4
109,Soul Stats,Alisa,2,P,2
109,Soul Stats,Alisa,3,N,5
110,Soul Stats,Alisa,1,P,1
110,Soul Stats,Alisa,2,N,2
110,Soul Stats,Alisa,3,N,5
111,Soul Stats,Alisa,1,P,2
111,Soul Stats,Alisa,2,N,3
111,Soul Stats,Alisa,3,N,4
112,Soul Stats,Alisa,1,N,1
112,Soul Stats,Alisa,2,N,4
112,Soul Stats,Alisa,3,P,5
113,Soul Stats,Alisa,1,P,2
113,Soul Stats,Alisa,2,P,3
113,Soul Stats,Alisa,3,N,5
114,Soul Stats,Alisa,1,N,2
114,Soul Stats,Alisa,2,N,2
114,Soul Stats,Alisa,3,N,3
115,Soul Stats,Amber,1,P,5
115,Soul Stats,Amber,2,P,5
115,Soul Stats,Amber,3,N,3
116,Soul Stats,Amber,1,P,4
116,Soul Stats,Amber,2,P,3
116,Soul Stats,Amber,3,N,5
117,Soul Stats,Amber,1,N,5
117,Soul Stats,Amber,2,N,5
117,Soul Stats,Amber,3,N,5
118,Soul Stats,Amber,1,P,1
118,Soul Stats,Amber,2,P,1
118,Soul Stats,Amber,3,N,1
119,Soul Stats,Amber,1,P,5
119,Soul Stats,Amber,2,N,2
119,Soul Stats,Amber,3,N,5
120,Soul Stats,Amber,1,P,3
120,Soul Stats,Amber,2,N,3
120,Soul Stats,Amber,3,N,5
